agency_cd,site_no,datetime,293221_00060_00003,293221_00060_00003_cd
USGS,1589000,9/8/2016,62.9,A
USGS,1589000,9/9/2016,50.6,A
USGS,1589000,9/10/2016,44.5,A
USGS,1589000,9/11/2016,41.7,A
USGS,1589000,9/12/2016,38.5,A
USGS,1589000,9/13/2016,38.3,A
USGS,1589000,9/14/2016,38.3,A
USGS,1589000,9/15/2016,38.1,A
USGS,1589000,9/16/2016,37.1,A
USGS,1589000,9/17/2016,37.1,A
USGS,1589000,9/18/2016,37.8,A
USGS,1589000,9/19/2016,44.9,A
USGS,1589000,9/20/2016,54.1,A
USGS,1589000,9/21/2016,45.6,A
USGS,1589000,9/22/2016,42,A
USGS,1589000,9/23/2016,38.3,A
USGS,1589000,9/24/2016,37.3,A
USGS,1589000,9/25/2016,36.7,A
USGS,1589000,9/26/2016,37.2,A
USGS,1589000,9/27/2016,44.1,A
USGS,1589000,9/28/2016,47.4,A
USGS,1589000,9/29/2016,291,A
USGS,1589000,9/30/2016,164,A
USGS,1589000,10/1/2016,150,A
USGS,1589000,10/2/2016,107,A
USGS,1589000,10/3/2016,76.3,A
USGS,1589000,10/4/2016,66.6,A
USGS,1589000,10/5/2016,61.1,A
USGS,1589000,10/6/2016,57.6,A
USGS,1589000,10/7/2016,56.5,A
USGS,1589000,10/8/2016,57,A
USGS,1589000,10/9/2016,55.7,A
USGS,1589000,10/10/2016,51.9,A
USGS,1589000,10/11/2016,50.2,A
USGS,1589000,10/12/2016,51,A
USGS,1589000,10/13/2016,51.6,A
USGS,1589000,10/14/2016,51.2,A
USGS,1589000,10/15/2016,48.8,A
USGS,1589000,10/16/2016,47.2,A
USGS,1589000,10/17/2016,49.6,A
USGS,1589000,10/18/2016,47.4,A
USGS,1589000,10/19/2016,45.5,A
USGS,1589000,10/20/2016,45.4,A
USGS,1589000,10/21/2016,51.5,A
USGS,1589000,10/22/2016,57.3,A
USGS,1589000,10/23/2016,48.1,A
USGS,1589000,10/24/2016,48.4,A
USGS,1589000,10/25/2016,48.5,A
USGS,1589000,10/26/2016,47,A
USGS,1589000,10/27/2016,49.4,A
USGS,1589000,10/28/2016,54.7,A
USGS,1589000,10/29/2016,51.6,A
USGS,1589000,10/30/2016,49.5,A
USGS,1589000,10/31/2016,50.2,A
USGS,1589000,11/1/2016,48.9,A
USGS,1589000,11/2/2016,50.2,A
USGS,1589000,11/3/2016,50.8,A
USGS,1589000,11/4/2016,49.5,A
USGS,1589000,11/5/2016,47.4,A
USGS,1589000,11/6/2016,46.6,A
USGS,1589000,11/7/2016,46.8,A
USGS,1589000,11/8/2016,46.8,A
USGS,1589000,11/9/2016,51.1,A
USGS,1589000,11/10/2016,54.9,A
USGS,1589000,11/11/2016,51.4,A
USGS,1589000,11/12/2016,47.1,A
USGS,1589000,11/13/2016,46,A
USGS,1589000,11/14/2016,46.9,A
USGS,1589000,11/15/2016,48.2,A
USGS,1589000,11/16/2016,48.1,A
USGS,1589000,11/17/2016,47.1,A
USGS,1589000,11/18/2016,46.6,A
USGS,1589000,11/19/2016,46.7,A
USGS,1589000,11/20/2016,46.4,A
USGS,1589000,11/21/2016,43.1,A
USGS,1589000,11/22/2016,44.3,A
USGS,1589000,11/23/2016,45.7,A
USGS,1589000,11/24/2016,45.9,A
